JobID,WorkersID,EstimatedTime
11,1,1
11,2,4
11,3,6
11,4,9
11,5,3
11,6,5
11,7,2
11,8,8
11,9,9
11,10,5
12,1,3 
12,2,2
12,3,5
12,4,1
12,5,5
12,6,6
12,7,9
12,8,5
12,9,10
12,10,3
13,1,4
13,2,1
13,3,1
13,4,3
13,5,4
13,6,8
13,7,10
13,8,4
13,9,11
13,10,4
21,1,4
21,2,8
21,3,7
21,4,1
21,5,9
21,6,6
21,7,1
21,8,10
21,9,7
21,10,1
22,1,2
22,2,10
22,3,4
22,4,5
22,5,9
22,6,8
22,7,4
22,8,15
22,9,8
22,10,4
23,1,6
23,2,11
23,3,2
23,4,7
23,5,5
23,6,3
23,7,5
23,8,14
23,9,9
23,10,2
31,1,8
31,2,5
31,3,8
31,4,9
31,5,4
31,6,3
31,7,5 
31,8,3 
31,9,8 
31,10,1
32,1,9 
32,2,3 
32,3,6 
32,4,1 
32,5,2 
32,6,6 
32,7,4 
32,8,1 
32,9,7 
32,10,2
33,1,7 
33,2,1 
33,3,8 
33,4,5 
33,5,4 
33,6,9 
33,7,1 
33,8,2 
33,9,3 
33,10,4
41,1,5 
41,2,10 
41,3,6 
41,4,4 
41,5,9 
41,6,5 
41,7,1 
41,8,7 
41,9,1 
41,10,6
42,1,4 
42,2,2 
42,3,3 
42,4,8 
42,5,7 
42,6,4 
42,7,6 
42,8,9 
42,9,8 
42,10,4
43,1,7 
43,2,3 
43,3,12 
43,4,1 
43,5,6 
43,6,5 
43,7,8 
43,8,3 
43,9,5 
43,10,2
51,1,6 
51,2,1 
51,3,4 
51,4,1 
51,5,10
51,6, 4 
51,7,3 
51,8,11 
51,9,13 
51,10,9
52,1,7 
52,2,10 
52,3,4 
52,4,5 
52,5,6 
52,6,3 
52,7,5 
52,8,15
52,9, 2
52,10, 6
53,1,5 
53,2,6 
53,3,3 
53,4,9 
53,5,8 
53,6,2 
53,7,8 
53,8,6 
53,9,1 
53,10,7
61,1,8 
61,2,9 
61,3,10 
61,4,8 
61,5,4 
61,6,2 
61,7,7 
61,8,8 
61,9,3 
61,10,10
62,1,7 
62,2,3 
62,3,12 
62,4,5 
62,5,4 
62,6,3 
62,7,6 
62,8,9 
62,9,2 
62,10,15
63,1,4 
63,2,7 
63,3,3 
63,4,6 
63,5,3 
63,6,4 
63,7,1 
63,8,5 
63,9,1 
63,10,11
71,1,5 
71,2,4 
71,3,2 
71,4,1 
71,5,2 
71,6,1 
71,7,8 
71,8,14
71,9, 5 
71,10,7
72,1,3 
72,2,8 
72,3,1 
72,4,2 
72,5,3 
72,6,6 
72,7,11
72,8, 2
72,9, 13
72,10, 3
73,1,1 
73,2,7 
73,3,8 
73,4,3 
73,5,4 
73,6,9 
73,7,4 
73,8,13 
73,9,10 
73,10,7
81,1,8 
81,2,3 
81,3,10
81,4, 7
81,5, 5
81,6, 13
81,7, 4
81,8, 6
81,9, 8
81,10, 4
82,1,6 
82,2,2 
82,3,13
82,4, 5
82,5, 4
82,6, 3
82,7, 5
82,8, 7
82,9, 9
82,10, 5
83,1,5 
83,2,7 
83,3,11
83,4, 3
83,5, 2
83,6, 9
83,7, 8
83,8, 5
83,9, 12
83,10, 8
91,1,3 
91,2,9 
91,3,1 
91,4,3 
91,5,8 
91,6,1 
91,7,6 
91,8,7 
91,9,5 
91,10,4
92,1,4 
92,2,6 
92,3,2 
92,4,5 
92,5,7 
92,6,3 
92,7,1
92,8, 9
92,9, 6
92,10, 7
93,1,8 
93,2,5 
93,3,4 
93,4,8 
93,5,6 
93,6,1 
93,7,2 
93,8,3 
93,9,10
93,10, 12
101,1,9 
101,2,2 
101,3,4 
101,4,2 
101,5,3 
101,6,5 
101,7,2 
101,8,4 
101,9,10
101,10, 23
102,1,3 
102,2,1 
102,3,8 
102,4,1 
102,5,9 
102,6,4 
102,7,1 
102,8,4 
102,9,17
102,10,15
103,1,4
103,2, 3
103,3, 1 
103,4,6 
103,5,7 
103,6,1 
103,7,2 
103,8,6 
103,9,20
103,"10,10", 6
